id,hour,rideType,price,distance,temp,precip,atDark
c61c8286-828b-4d2d-a8bd-11a4b6343efe,6,lyft_luxsuv,26,1.06,35.61,0,TRUE
97861185-4095-4d14-93c0-47a92c6e6aa8,14,lyft_luxsuv,30,2.45,33.9,0,TRUE
96517010-c812-4caa-b334-39aed3d7d741,7,lyft,7,0.89,38.41,0,TRUE
8ba10fc3-041c-42bd-94b8-af8ac6f64e97,18,lyft_plus,19.5,3.21,32.67,0,TRUE
33242e86-f6b9-4f3d-b5be-013fdb7b9b33,6,lyft_lux,27.5,2.55,25.35,1,TRUE
f9122ee2-d275-4366-b540-dd6680c79567,16,lyft_luxsuv,47.5,3.33,34.42,0,TRUE
338a33c3-ca5b-44d0-abe2-6346c8872386,14,lyft,7,1.44,36.08,0,TRUE
95bc8755-8f34-41e5-80df-6e10b13e9223,17,lyft_lux,16.5,1.62,52.68,0,TRUE
c135c8c8-a1ca-49c4-a9eb-8cd63b664343,17,lyft_lux,27.5,2.07,52.68,0,TRUE
f8f0856f-c3f5-4df3-a5c7-f2dc1d10e011,15,lyft_premier,13.5,1.47,35.9,0,TRUE
903d99ab-9741-4376-a27b-a6b531133ad6,17,lyft_premier,16.5,1.18,38.23,1,TRUE
589e7bdb-a4df-4734-950e-7b3c8528bd9e,21,lyft_lux,26,2.32,37.91,0,FALSE
4cdde90a-692e-449d-acf6-f0371092e81b,4,lyft_plus,16.5,2.38,17.99,0,FALSE
4e278690-cd98-4ac1-a6eb-32d27aff687a,8,lyft_plus,16.5,2.87,44.67,0,TRUE
174f5f87-e016-4735-901e-125028fb1276,2,lyft_plus,26,3.46,31.54,0,FALSE
d715da0d-29d7-4ba8-bae4-31ba37ca3e32,2,lyft_plus,22.5,4.36,34.5,1,FALSE
8c1186df-b7de-4cd2-a7da-dd1abcfba596,9,lyft_lux,30,4.55,36.11,1,TRUE
6d3fe149-cdb5-4bc2-817c-fc872c1079b6,6,lyft_premier,11,0.57,41.83,0,TRUE
b033f93a-4098-467b-8298-53a1fef61e55,8,lyft_lux,22.5,2.96,32.4,0,TRUE
f63a6191-e853-4823-bab4-f9a3c587fbad,0,lyft_luxsuv,34,3.3,39.94,1,FALSE
b77272b4-6a32-4db1-a93c-6f58972d14f8,22,lyft_luxsuv,27.5,0.43,31.98,0,FALSE
ca2401e6-fe60-48ca-97b2-155a17291efc,7,lyft,10.5,2.95,37.33,1,TRUE
ae6a3654-565e-4aba-a0f2-0a5694c62ae1,21,lyft_lux,19.5,2.11,41.62,0,FALSE
4f84ae2e-846a-45fe-b9e5-764923c65227,1,lyft,7,0.65,32.46,0,FALSE
c38edff8-7723-4254-bec6-5f2462ece82d,1,lyft,7,1.28,32.37,0,FALSE
6b60dcc2-7dee-4673-b153-42927bf7632b,5,lyft_premier,22.5,3.19,37.78,1,TRUE
221df808-3145-4c7f-adca-5b1553e7c5b8,15,lyft_plus,16.5,2.99,36.3,0,TRUE
8e5b06d8-bb4b-42ab-b67d-ec3ba7a27560,14,lyft,9,1.69,34.01,0,TRUE
c396cf78-793d-4842-af46-1e8bf686c0d0,1,lyft_luxsuv,32.5,3.22,32.45,0,FALSE
e896e353-c478-496a-8627-7359f8f06719,11,lyft_premier,13.5,1.08,30.98,0,TRUE
d397ccb5-115d-4c4d-acb1-ed3704d852dd,14,lyft_luxsuv,26,0.59,32.27,0,TRUE
31b6e89d-fb4b-462a-a5bc-adb054aea710,12,lyft_plus,13.5,2.16,12.13,0,TRUE
21f8a5af-5a72-4dd7-a0d4-d47d21ffcfa1,21,lyft,7,0.78,32.6,0,FALSE
9486d0c6-3729-4995-976a-02cbe68881c7,17,lyft_lux,26,2.88,34.55,0,TRUE
20b61024-2f4a-45ce-a98a-79d1a7efdf65,18,lyft,10.5,2.25,35.13,0,TRUE
177d8c00-4789-46dc-bfba-b625a3d457d6,15,lyft_luxsuv,34,3.11,36.3,0,TRUE
f055f294-6cdf-4bee-980e-752a743611e5,6,lyft_lux,16.5,1.2,35.61,0,TRUE
9790a498-577a-4f55-88f3-0fe37b0c7fde,14,lyft_plus,10.5,0.65,34.01,0,TRUE
4cf23219-f3dd-4a7d-af7d-500771f14729,9,lyft_lux,19.5,1.32,40.15,1,TRUE
015edfc1-a897-447d-bec9-b1304dd717ce,19,lyft_lux,26,3.1,32.85,0,TRUE
3fffe403-9a94-4487-a4d0-91d4c3a00a69,9,lyft_plus,10.5,1.25,48.11,0,TRUE
604be67e-1f19-4305-b66b-41cfc30d85da,10,lyft_premier,19.5,2.47,41.4,0,TRUE
b0e2939f-dee2-493b-9a56-fc33f88a7da4,22,lyft,7,0.57,40.08,0,FALSE
854de3e9-fce0-486d-94f7-28d7f4081dae,15,lyft_premier,27.5,5.32,41.79,1,TRUE
ded4e5b6-58fa-4783-aa4b-c14c5ba5a97b,2,lyft_plus,10.5,0.72,39.99,0,FALSE
d1d92026-bd12-4797-8856-cfe6d593bd06,15,lyft_premier,19.5,3.01,50.71,0,TRUE
9fdf47fe-a6b1-421f-8006-f79276d79431,19,lyft_luxsuv,26,1.32,37.19,0,TRUE
75030573-e2b5-4e10-83a6-1c831c0bb9ce,7,lyft_lux,27.5,2.95,31.98,1,TRUE
c7b9fdd2-97b2-4c27-8acd-1f4d50c37849,17,lyft_plus,13.5,1.22,52.68,0,TRUE
16a1dbc8-a9cf-426c-8b04-9bc8599cd7ec,3,lyft,13.5,4.74,32.15,0,FALSE
90a4440f-a2df-41aa-a191-ba2ace23a134,7,lyft_plus,16.5,1.95,38.41,0,TRUE
f00db81f-0dc0-4cea-889c-61c453c10b4c,2,lyft_lux,16.5,1.41,31.54,0,FALSE
d2e2803b-19ac-4e82-a252-2a6aa8444c24,16,lyft,9,1,35.84,0,TRUE
67e05f65-81cc-4a2f-a226-40e02250a6dc,9,lyft_plus,13.5,2.1,29.23,1,TRUE
fa863a14-2f12-44fe-88cf-cee2407ced62,23,lyft_plus,16.5,3.14,24.67,0,FALSE
46375193-8da8-4248-aeed-887b213c767e,17,lyft_luxsuv,27.5,0.58,35.14,0,TRUE
566a5f2c-629e-436f-9459-0bc372e2e8a2,1,lyft_plus,16.5,2.15,39.27,0,FALSE
b6202ee8-ecf8-4c26-b883-1b036ca14d06,19,lyft_luxsuv,34,3.2,43.99,0,TRUE
49171066-c9d2-4f44-a48b-add65e89dbd3,23,lyft_luxsuv,26,0.72,39.93,1,FALSE
4e1bc327-068d-49e7-a147-245d2eda152c,14,lyft_plus,13.5,1.1,31,1.00E+00,TRUE
ef5b6a48-26ad-401c-a198-95de5e57f939,4,lyft_premier,16.5,2.16,37.06,1,FALSE
4c05e122-084a-4167-a220-a28089b6cbab,17,lyft_lux,55,3.67,34.55,0,TRUE
444de642-efa9-4570-9b2a-762380e331f9,18,lyft_plus,11,0.99,37.25,0,TRUE
83f79e1b-5e57-4c80-91d2-bd8d99154274,2,lyft,7,1.56,34.5,1,FALSE
5ba13e87-ecf8-4133-bc05-adedb5310f8c,13,lyft_premier,13.5,1.2,12.65,0,TRUE
7940f7ee-0ac5-4dc5-bbbf-ddac8c859e94,22,lyft_premier,16.5,2.26,41.07,1,FALSE
b9371483-ca2e-4327-9c87-efee1592182d,5,lyft_luxsuv,32.5,1,38.19,0,TRUE
cf59f6c8-968e-48de-aba1-d46f5569f5a0,15,lyft,10.5,3.13,31.64,1.00E+00,TRUE
b8c42f81-c8ec-42bf-9ce6-5fd95be383c3,16,lyft_lux,19.5,1.46,30.46,0,TRUE
f506ce41-2c1c-452e-ab5b-fdd97dbe9ea3,0,lyft_plus,13.5,1.92,48.45,0,FALSE
6522aca9-75a3-4e49-8fbd-c58b8feced4a,18,lyft_luxsuv,27.5,0.81,35.13,0,TRUE
8c7476b8-24ba-4dc8-b508-0c46487436b7,23,lyft_plus,13.5,1.91,34.73,0,FALSE
97cbe2e5-5094-4fb3-80ab-2b5fca4fb861,1,lyft_plus,16.5,3.24,32.37,0,FALSE
1c02bedd-10f4-46f4-b485-98ffdea692a7,22,lyft_plus,10.5,1.26,31.98,0,FALSE
5c4a323a-f6dd-4db0-b793-50de6876e6cc,18,lyft_luxsuv,45.5,5.01,46.21,1,TRUE
dd9ce6f8-bf46-40da-8fb4-d70798dbf30e,15,lyft_plus,26,3.31,16.07,0,TRUE
a9a658d5-ca2e-40a9-a747-b55936474010,0,lyft_luxsuv,27.5,0.73,39.94,1,FALSE
5c84cca6-f9d0-4b4a-9581-fcf3805c5fd9,21,lyft_luxsuv,38,3.47,50.43,0,FALSE
2a08f92e-3522-416f-8bd7-ca3f6a4d3279,17,lyft,11,3.27,20.93,0,TRUE
070251c9-0181-4f06-9e07-3ecc0b6e1454,3,lyft_premier,16.5,1.75,18.26,0,FALSE
1845f6e8-21e4-464b-ab62-fc4e5a92ad07,0,lyft_premier,22.5,3.05,44.64,0,FALSE
84a452c9-bba7-4f09-af91-bc667b7453d2,1,lyft_plus,10.5,1.03,32.45,0,FALSE
d848e710-0b79-49fa-9fda-6d876162d5d0,13,lyft_luxsuv,27.5,1.25,42.13,1,TRUE
a717b426-e79a-4e51-9a1a-79f2064fcdaa,3,lyft,7,1.04,48.12,1,FALSE
95e0f877-bc7c-4a2f-ab36-4ab3ab041b5d,7,lyft,7,1.08,37.33,1,TRUE
0a142c95-f6e7-46ba-81cb-a6a717688b9c,13,lyft,7,1.46,31.03,0,TRUE
c963e94b-2848-4a16-8a75-892dfdec1f92,16,lyft_luxsuv,26,0.57,37.83,1,TRUE
befa10ee-bfb1-44a7-a408-8da68bdedc7f,4,lyft_lux,16.5,1.18,34.81,0,FALSE
507a116f-c66a-4af9-bd4f-a80b70714066,21,lyft,7,1.24,41.62,0,TRUE
5c06c2b6-a11f-4aae-927e-7a9724318150,15,lyft_plus,13.5,2.5,42.54,1,TRUE
5c06eda6-ac3d-48c1-8daa-2929179a1bdd,22,lyft_premier,13.5,1.46,35.55,0,FALSE
1cdfca87-6493-431c-9ffe-4174b356faf1,10,lyft_premier,27.5,1.45,48.43,0,TRUE
6f7ecc6e-a027-421e-9d41-c1945a6d06bb,23,lyft_premier,16.5,2.39,48.83,0,FALSE
dd2353d6-2702-473c-b1d1-d965bde24e4d,19,lyft_luxsuv,34,2.84,49.22,1,TRUE
c770d09b-98cd-43b3-b46e-23028cb7b2bf,12,lyft_premier,11,0.53,46.04,1,TRUE
2f657b0a-a646-474e-a028-c1ec57fedd35,14,lyft_luxsuv,27.5,1.7,14.77,0,TRUE
66a14779-e7ed-4ee0-90d1-20084c7cfa10,8,lyft_premier,19.5,2.47,44.67,0,TRUE
f4f62d0b-3164-478d-b4f7-cd989912df4d,7,lyft_luxsuv,32.5,1.72,37.33,1,TRUE
1e12c254-2593-4a92-a3a8-0e540135252b,5,lyft_lux,16.5,1.45,33.06,1,TRUE
99794eee-27a1-4f62-b09b-b6cf28f64dd1,10,lyft,13.5,5.41,36.06,1,TRUE
df953dc3-98f8-42a5-b9c0-80ac389f0e7f,16,lyft_plus,19.5,3.27,30.46,0,TRUE
3a20ec4b-8c2b-47e1-bc75-7f3d86a7590d,2,lyft_luxsuv,27.5,1.72,36.5,0,FALSE
1cfa6fa6-542c-474c-80e1-328a089e3a8b,10,lyft_lux,22.5,1.78,29.99,0,TRUE
1fdeda83-37fe-4ce2-a3d0-d66d3b29175b,23,lyft_luxsuv,30,2.47,34.73,0,FALSE
91da4ecc-8dce-469b-86db-9f954049c9f8,21,lyft_premier,16.5,2.49,35.62,0,FALSE
15ca0629-e34d-4aa0-83f1-c982c7ce1eb3,8,lyft_lux,22.5,2.33,35,0,TRUE
18a62d83-e332-4567-8ad1-69e5b7b8eec9,0,lyft_lux,16.5,1.45,33.81,0,FALSE
55625980-2450-4a6c-a3cb-a2e99578d7e8,6,lyft_luxsuv,27.5,1.1,36.79,1,TRUE
bb6af550-0708-470f-8aad-2d178b01b9da,19,lyft_luxsuv,34,2.9,40.97,1,TRUE
97de1776-924c-4038-932c-8fdb207782e3,18,lyft_plus,19.5,3.44,36.1,0,TRUE
b3b9d386-fcab-46a1-964d-26fafc36a651,1,lyft_premier,19.5,2.16,30.64,0,FALSE
0806d607-d7da-4a5e-8cc1-c90283ce00b6,18,lyft_lux,26,1.76,35.13,0,TRUE
